TAXA,COMMON_NAME,TREE_TYPE,LAT,LONG,X,Z
thuja plicata ,western red cedar ,coniferous,49.260381,-123.254063,2009.6764252258765,-554.1950876312889
Pseudotsuga menziesii,douglas-fir,coniferous,49.260535,-123.254131,2013.4039131229197,-571.6218031603394
thuja plicata ,western red cedar ,coniferous,49.260502,-123.254211,2006.540426180924,-571.1383796842163
acer circinatum ,vine maple ,deciduous,49.260889,-123.254869,1984.6699277699545,-631.6760336541639
acer circinatum ,vine maple ,deciduous,49.260899,-123.254819,1988.4015391501841,-630.9370946110251
cornus nuttallii ,pacific dogwood ,deciduous,49.260919,-123.254788,1991.4399410372089,-631.8310993152166
tilia platyphyllos ,large leaved linden ,deciduous,49.260849,-123.254968,1976.220388651463,-631.1599163330733
acer circinatum ,vine maple ,deciduous,49.260897,-123.255003,1976.4969820277747,-637.0661571852938
acer circinatum ,vine maple ,deciduous,49.260919,-123.255057,1974.1895749272635,-641.0780103408447
acer circinatum ,vine maple ,deciduous,49.260927,-123.255019,1977.0466056343275,-640.5556027091292
liquidambar styraciflua,sweet gum ,deciduous,49.26088,-123.255141,1966.7544762880534,-640.1442629621683
acer circinatum ,vine maple ,deciduous,49.261151,-123.255082,1984.7715641111006,-664.6690664102899
tsuga heterophylla ,western hemlock ,coniferous,49.260124,-123.254465,1970.3986361391558,-542.8325009594104
thuja plicata ,western red cedar ,coniferous,49.260076,-123.254475,1967.2363126476457,-538.4731293663879
pseudotsuga menziesii ,douglas-fir ,coniferous,49.260058,-123.254521,1963.34098810858,-538.2907246141579
pseudotsuga menziesii ,douglas-fir ,coniferous,49.260079,-123.254614,1958.4799440246265,-543.5452543677301
thuja plicata ,western red cedar ,coniferous,49.260059,-123.254723,1950.439450317649,-545.332551945084
pseudotsuga menziesii ,douglas-fir ,coniferous,49.260047,-123.254777,1946.3462239861537,-546.0130547390532
thuja plicata ,western red cedar ,coniferous,49.260037,-123.254746,1947.809002887067,-543.9675953968767
pseudotsuga menziesii ,douglas-fir ,coniferous,49.260026,-123.254798,1943.8965551151698,-544.6773305053048
pseudotsuga menziesii ,douglas-fir ,coniferous,49.259949,-123.25476,1942.2892699206473,-535.8264761914303
pseudotsuga menziesii ,douglas-fir ,coniferous,49.259925,-123.254797,1938.6559672462906,-534.7468195387471
pseudotsuga menziesii ,douglas-fir ,coniferous,49.259933,-123.254817,1937.793561099426,-536.2181861853487
acer pseudoplatanus,sycamore maple ,deciduous,49.260202,-123.254179,1992.8361964765631,-540.6437947997741
acer platanoides ,norway maple ,deciduous,49.261075,-123.254577,2013.164302014498,-639.8631349764104
acer platanoides ,norway maple ,deciduous,49.261176,-123.254676,2012.1203636622351,-653.162383114423
cedrus deodara,deodar cedar ,coniferous,49.26145,-123.254854,2015.096709360231,-686.1280373580106
cedrus deodara,deodar cedar ,coniferous,49.26143,-123.254912,2010.3268961143694,-686.1621423007601
cedrus deodara,deodar cedar ,coniferous,49.261495,-123.254965,2010.3421028287135,-694.3528001956149
cedrus deodara,deodar cedar ,coniferous,49.261498,-123.254893,2015.1168134570482,-692.1717633052523
cedrus deodara,deodar cedar ,coniferous,49.261522,-123.254942,2013.2351219672667,-696.2076800766722
pinus ponderosa,ponderosa pine ,coniferous,49.261576,-123.254941,2016.1354454578582,-701.4643042332445
acer circinatum ,vine maple ,deciduous,49.261686,-123.255042,2015.4360833607248,-715.7141059516471
cornus kousa ,kousa dogwood ,deciduous,49.261683,-123.255201,2005.0823753629127,-720.8857509565476
cornus kousa ,kousa dogwood ,deciduous,49.261709,-123.255221,2005.165428303871,-724.1207609782047
pinus ponderosa,ponderosa pine ,coniferous,49.261746,-123.255119,2013.6496718275878,-724.2398411814929
acer circinatum ,vine maple ,deciduous,49.26573,-123.257815,2050.0292778766193,-1207.2675463589371
acer circinatum ,vine maple ,deciduous,49.265556,-123.257936,2033.131194791537,-1194.378414391249
tsuga heterophylla ,western hemlock ,coniferous,49.26017,-123.254273,1985.1273897276665,-540.739627485834
pseudotsuga menziesii ,douglas-fir ,coniferous,49.260133,-123.254301,1981.3884889334304,-538.0768009434362
tsuga heterophylla ,western hemlock ,coniferous,49.260119,-123.254365,1976.548930803954,-538.9050665116134
tsuga heterophylla ,western hemlock ,coniferous,49.260124,-123.254465,1970.3986361391558,-542.8325009594104
betula papyrifera ,paper birch ,deciduous,49.26333,-123.25551,2071.772498161561,-892.8824586331538
betula papyrifera ,paper birch ,deciduous,49.263285,-123.255483,2071.1403262052845,-887.545211845453
pseudotsuga menziesii ,douglas-fir ,coniferous,49.263194,-123.255548,2062.1926488981153,-880.8632449976382
pseudotsuga menziesii ,douglas-fir ,coniferous,49.263271,-123.255555,2065.7880465989656,-888.6484053321327
abies grandis ,grand fir ,coniferous,49.263314,-123.255592,2065.6739336425135,-894.1334301215468
abies grandis ,grand fir ,coniferous,49.263163,-123.255336,2074.158853861293,-870.5385389627237
abies grandis ,grand fir ,coniferous,49.263129,-123.255332,2072.6295811058876,-867.0696819746845
abies grandis ,grand fir ,coniferous,49.263018,-123.255301,2068.787433331373,-855.1281728485625
acer circinatum ,vine maple ,deciduous,49.263011,-123.25533,2066.560153788665,-855.4391508367711
acer circinatum ,vine maple ,deciduous,49.262994,-123.255342,2064.8977696677225,-854.1859588251673
betula papyrifera ,paper birch ,deciduous,49.263101,-123.255209,2079.046292136311,-860.0982157298888
betula papyrifera ,paper birch ,deciduous,49.26315,-123.255077,2090.0843643991243,-860.3619605412902
Abies grandis,grand fir,coniferous,49.263129,-123.254975,2095.5221286633096,-854.7982345704502
Abies grandis,grand fir,coniferous,49.263112,-123.255029,2091.1665076726185,-854.9887287596138
pseudotsuga menziesii ,douglas-fir ,coniferous,49.263084,-123.255111,2084.4376433454336,-855.0638974563706
acer palmatum ,japanese maple ,deciduous,49.262708,-123.255645,2030.4463502735339,-836.5787726979011
acer palmatum ,japanese maple ,deciduous,49.262653,-123.255604,2030.1867131618153,-829.7804624419408
acer palmatum ,japanese maple ,deciduous,49.262499,-123.255477,2030.242095162265,-810.325815840797
acer palmatum ,japanese maple ,deciduous,49.262356,-123.25536,2030.2340282971836,-792.2926943983135
acer palmatum ,japanese maple ,deciduous,49.262201,-123.255233,2030.2370001116396,-772.7400414469765
prunus cerasifera ,cherry plum ,deciduous,49.26209,-123.255103,2032.7433937949268,-757.3954314721868
prunus cerasifera ,cherry plum ,deciduous,49.262514,-123.25396,2128.308743180582,-759.6503897664984
prunus cerasifera ,cherry plum ,deciduous,49.262477,-123.254065,2119.6322246822315,-759.6342449464264
prunus cerasifera ,cherry plum ,deciduous,49.262456,-123.254139,2113.783949191873,-760.1202509935292
prunus cerasifera ,cherry plum ,deciduous,49.262406,-123.254018,2118.917163818812,-751.0619694957879
prunus cerasifera ,cherry plum ,deciduous,49.262408,-123.25392,2125.3065787071155,-747.88935082418
thuja plicata,western red cedar ,coniferous,49.262386,-123.253902,2125.3053936812,-745.1150241924512
Thuja plicata,western red cedar,coniferous,49.265764,-123.257714,2058.2912985016337,-1207.1270565566633
Thuja plicata,western red cedar,coniferous,49.265767,-123.257717,2058.256515346342,-1207.5241178314532
Pseudotsuga menziesii,douglas-fir,coniferous,49.260016,-123.255622,1890.5292072148272,-572.0233410457871
thuja plicata ,western red cedar ,coniferous,49.260016,-123.255581,1893.1584806122526,-570.6139113178472
acer macrophyllum,big leaf maple ,deciduous,49.260018,-123.255547,1895.4439000954594,-569.6410790601634
thuja plicata ,western red cedar ,coniferous,49.259984,-123.255474,1898.3395159922384,-563.8002559758928
Pseudotsuga menziesii,douglas-fir,coniferous,49.259948,-123.255512,1894.0118014571044,-561.5792364732204
quercus palustris ,pin oak ,deciduous,49.260066,-123.25544,1904.8267609658392,-570.6659137235632
Pseudotsuga menziesii,douglas-fir,coniferous,49.259952,-123.255389,1902.1097317721192,-557.7428817972622
Pseudotsuga menziesii,douglas-fir,coniferous,49.259917,-123.254896,1931.8870117989463,-537.3661676891691
thuja plicata ,western red cedar ,coniferous,49.259902,-123.254989,1925.1351775586484,-539.0934000820854
acer macrophyllum ,big leaf maple ,deciduous,49.259932,-123.255005,1925.684779441976,-542.582856281945
Pseudotsuga menziesii,douglas-fir,coniferous,49.259961,-123.254948,1930.863275271614,-543.4648936991995
thuja plicata ,western red cedar ,coniferous,49.260104,-123.25494,1938.8869725169736,-557.2012330753347
acer macrophyllum ,big leaf maple ,deciduous,49.260054,-123.254979,1933.7598401573493,-553.642815822337
Pseudotsuga menziesii,douglas-fir,coniferous,49.260048,-123.254963,1934.4707688524493,-552.5049149064665
Pseudotsuga menziesii,douglas-fir,coniferous,49.260024,-123.254966,1933.0178501966693,-550.2564880974005
thuja plicata ,western red cedar ,coniferous,49.263136,-123.258432,1874.2128649837016,-974.3188726062223
thuja plicata ,western red cedar ,coniferous,49.263226,-123.258566,1870.3477677047254,-987.7434501798613
thuja plicata ,western red cedar ,coniferous,49.263271,-123.25859,1871.1725243621022,-992.9775429316313
thuja plicata ,western red cedar ,coniferous,49.263251,-123.258661,1865.5692492041185,-993.4587069790996
thuja plicata ,western red cedar ,coniferous,49.263297,-123.258654,1868.4343524761457,-997.7251003853228
